0,herr-frau-kind (0)
1,wangenheim-gedanke-witz (1)
2,lesen-schüler-diktieren (2)
3,reise-freund-freundin (3)
4,herz-liebe-leben (4)
5,krankheit-herr-wunde (5)
6,tante-onkel-erzahlung (6)
7,brockhaus-spazieren-platte (7)
8,verhältnis-hofrätin-schicksal (8)
9,angenehm-schöne-spielen (9)
10,frau-gnädig-herr (10)
11,mensch-bruder-grüßen (11)
12,band-bitten-schön (12)
13,kind-erziehung-mädchen (13)
14,burschenschaft-landsmannschaft-wirtschaft (14)
15,großherzog-berliner-seltsam (15)
16,hören-bettenburg-wangenheim (16)
17,vater-mutter-geliebt (17)
18,lassen-zeitung-blatt (18)
19,lassen-jahr-sagen (19)
20,schön-abend-klein (20)
21,brief-schreiben-lieb (21)
22,werk-arbeit-jesu (22)
23,gott-religiös-bild (23)
24,uhr-essen-tisch (24)
25,traube-ausmalen-pilger (25)
26,werk-reimer-hochwohlgeboren (26)
27,bad-befinden-herstellung (27)
28,könig-königin-nachricht (28)
29,lieb-sohn-freundin (29)
30,vater-leben-teuer (30)
31,freund-schön-herrlich (31)
32,lesen-alt-buch (32)
33,lied-schlechte-blättchen (33)
34,förster-schwager-maler (34)
35,bier-heim-card (35)
36,herr-spazieren-zeitung (36)
37,hofrat-entschuldigen-leute (37)
38,majestät-erde-märz (38)
39,vater-kleid-schicken (39)
